Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Running Enthusiasts,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,536,25,4.66%,AUD,2.96,74.05,0.53%,0.13,560.10
Enabled,All Users,Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,5,1,20.00%,AUD,3.65,3.65,0.00%,0.00,0.00
Enabled,Past buyers (Retail) (AdWords),Website visitors,Custom Cap Design Search US2, --,Not eligible,Audience not eligible,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Socks,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,26,2,7.69%,AUD,1.99,3.98,0.00%,0.00,0.00
Enabled,Apparel & Accessories,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"3,741",119,3.18%,AUD,1.58,188.08,1.68%,2.00,94.04
Enabled,Camping & Hiking Equipment,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"5,457",96,1.76%,AUD,0.51,49.10,0.00%,0.00,0.00
Enabled,Similar to All Converters,Similar segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,33,3,9.09%,AUD,1.84,5.52,0.00%,0.00,0.00
Enabled,Similar to All visitors (AdWords),Similar segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,35,2,5.71%,AUD,3.30,6.60,0.00%,0.00,0.00
Enabled,Sports Fans,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"1,797",78,4.34%,AUD,2.13,165.76,0.00%,0.00,0.00
Paused,Running Events,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Apparel & Accessories,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Half Marathon,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Endurance Running Tips,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Activewear,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Ultra Marathons,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Outerwear,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Running Tips,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Men's Apparel,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Similar to All Users,Similar segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Sports & Fitness,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Trail Races,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Distance Running Training and Information,Custom intent segment: auto-created,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,All Users,Website visitors,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Sports & Fitness,Affinity segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Paused,Sporting Goods,In-market segment,Intent,Ad group 1,Paused,Campaign paused; Ad group paused; Paused,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,308,9,2.92%,AUD,1.27,11.42,0.00%,0.00,0.00
Enabled,Sporting Goods,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,674,30,4.45%,AUD,2.15,64.52,3.33%,1.00,64.52
Enabled,Running Apparel,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,745,30,4.03%,AUD,1.66,49.84,0.46%,0.14,358.73
Enabled,All Users,Website visitors,Custom Cap Design Search UK, --,Eligible,,Campaign, --,4,1,25.00%,AUD,0.22,0.22,0.00%,0.00,0.00
Enabled,Similar to All Converters,Similar segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,114,9,7.89%,AUD,2.71,24.40,0.00%,0.00,0.00
Enabled,General visitors (Retail) (AdWords),Website visitors,Custom Cap Design Search UK, --,Eligible,,Campaign, --,169,14,8.28%,AUD,4.02,56.33,0.00%,0.00,0.00
Enabled,AdWords optimized list,Custom combination segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,247,28,11.34%,AUD,2.29,64.25,0.00%,0.00,0.00
Enabled,All Converters,Website visitors,Custom Cap Design Search UK, --,Eligible,,Campaign, --,188,16,8.51%,AUD,2.17,34.65,0.00%,0.00,0.00
Enabled,Travel Buffs,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,745,64,8.59%,AUD,2.28,145.91,3.13%,2.00,72.96
Enabled,Past buyers (Retail) (AdWords),Website visitors,Custom Cap Design Search UK, --,Not eligible,Audience not eligible,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outdoor Enthusiasts,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,591,47,7.95%,AUD,2.08,97.67,0.00%,0.00,0.00
Enabled,Sports & Fitness,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,971,87,8.96%,AUD,1.73,150.24,0.00%,0.00,0.00
Enabled,Women's Apparel,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,228,7,3.07%,AUD,4.63,32.40,0.00%,0.00,0.00
Enabled,Camping & Hiking Equipment,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,739,14,1.89%,AUD,1.12,15.66,0.00%,0.00,0.00
Enabled,Running Enthusiasts,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,432,30,6.94%,AUD,2.54,76.16,0.00%,0.00,0.00
Enabled,All Users of Fractel - GA4,Website visitors,Custom Cap Design Search UK, --,Eligible,,Campaign, --,7,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Shoppers,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,"1,047",95,9.07%,AUD,1.85,176.13,0.00%,0.00,0.00
Enabled,Travel,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,862,72,8.35%,AUD,2.16,155.47,8.33%,6.00,25.91
Enabled,Similar to All visitors (AdWords),Similar segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,50,4,8.00%,AUD,3.02,12.08,0.00%,0.00,0.00
Enabled,Sports & Fitness,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,650,45,6.92%,AUD,2.21,99.44,0.00%,0.00,0.00
Enabled,Similar to All Users,Similar segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,4,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Activewear,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,569,18,3.16%,AUD,1.85,33.27,0.00%,0.00,0.00
Enabled,Apparel & Accessories,In-market segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,"1,222",96,7.86%,AUD,1.87,179.20,1.04%,1.00,179.20
Enabled,Sports Fans,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,948,68,7.17%,AUD,2.77,188.13,2.67%,1.81,103.67
Enabled,All visitors (AdWords),Website visitors,Custom Cap Design Search UK, --,Eligible,,Campaign, --,249,13,5.22%,AUD,2.60,33.75,0.00%,0.00,0.00
Enabled,Health & Fitness Buffs,Affinity segment,Custom Cap Design Search UK, --,Eligible,,Campaign, --,578,52,9.00%,AUD,2.49,129.46,0.00%,0.00,0.00
